Prompt,Field,Type,Constraint
47,productmodelid,integer,PRIMARY KEY
5,illustrationid,integer,PRIMARY KEY
2014-01-09 14:41:02.183000,modifieddate,timestamp without time zone,None
16,businessentityid,integer,PRIMARY KEY
4,departmentid,smallint,PRIMARY KEY
1,shiftid,smallint,PRIMARY KEY
2009-07-15,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2009-07-14 00:00:00,modifieddate,timestamp without time zone,None
138,addressid,integer,PRIMARY KEY
2059 Clay Rd,addressline1,character varying,None
,addressline2,character varying,None
Edmonds,city,character varying,None
79,stateprovinceid,integer,None
98020,postalcode,character varying,None
<memory at 0x000001E010BE1C00>,spatiallocation,bytea,None
a158113b-ac84-4a89-8903-a6dd5f10ce82,rowguid,uuid,None
2008-12-28 00:00:00,modifieddate,timestamp without time zone,None
160,workorderid,integer,PRIMARY KEY
818,productid,integer,None
1,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-05 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-23 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-16 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-23 00:00:00,modifieddate,timestamp without time zone,None
151,workorderid,integer,PRIMARY KEY
519,productid,integer,PRIMARY KEY
6,operationsequence,smallint,PRIMARY KEY
50,locationid,smallint,None
2011-06-05 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-16 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-05 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-23 00:00:00,actualenddate,timestamp without time zone,CHECK
3.0000,actualresourcehrs,numeric,CHECK
36.75,plannedcost,numeric,CHECK
36.75,actualcost,numeric,CHECK
2011-06-23 00:00:00,modifieddate,timestamp without time zone,None
BN,countryregioncode,character varying,PRIMARY KEY
Brunei,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
718,productid,integer,PRIMARY KEY
2012-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2013-05-29 00:00:00,enddate,timestamp without time zone,CHECK
1301.3636,listprice,numeric,CHECK
2013-05-29 00:00:00,modifieddate,timestamp without time zone,None
61,businessentityid,integer,PRIMARY KEY
7,departmentid,smallint,PRIMARY KEY
3,shiftid,smallint,PRIMARY KEY
2009-01-18,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2009-01-17 00:00:00,modifieddate,timestamp without time zone,None
479,productid,integer,PRIMARY KEY
Metal Plate 2,name,character varying,None
MP-2066,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
0773a2c9-f47f-429e-814a-25b2e08c128a,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
21,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Terry,firstname,character varying,None
J,middlename,character varying,None
Eminhizer,lastname,character varying,None
,suffix,character varying,None
2,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
6a288fe0-d9cb-4da2-beea-51370220490c,rowguid,uuid,None
2009-02-23 00:00:00,modifieddate,timestamp without time zone,None
63,businessentityid,integer,PRIMARY KEY
63,emailaddressid,integer,PRIMARY KEY
maciej0@adventure-works.com,emailaddress,character varying,None
eb76a53a-8095-4a99-89d6-03923ca6ea0e,rowguid,uuid,None
2010-01-22 00:00:00,modifieddate,timestamp without time zone,None
383,businessentityid,integer,PRIMARY KEY
18570,creditcardid,integer,PRIMARY KEY
2013-07-31 00:00:00,modifieddate,timestamp without time zone,None
78,customerid,integer,PRIMARY KEY
,personid,integer,None
790,storeid,integer,None
4,territoryid,integer,None
8c8083ab-7943-44fa-b1ad-8e3abd5d66ee,rowguid,uuid,None
2014-09-12 11:15:07.263000,modifieddate,timestamp without time zone,None
10,creditcardid,integer,PRIMARY KEY
SuperiorCard,cardtype,character varying,None
33332126386493,cardnumber,character varying,None
8,expmonth,smallint,None
2008,expyear,smallint,None
2011-08-31 00:00:00,modifieddate,timestamp without time zone,None
156,currencyrateid,integer,PRIMARY KEY
2011-06-11 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
VEB,tocurrencycode,character,None
637.75,averagerate,numeric,None
637.75,endofdayrate,numeric,None
2011-06-11 00:00:00,modifieddate,timestamp without time zone,None
65,productmodelid,integer,PRIMARY KEY
ML Touring Seat/Saddle,name,character varying,None
,catalogdescription,xml,None
,instructions,xml,None
63a2199f-f5b5-49bd-bcfc-bec1d1d16d8b,rowguid,uuid,None
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
8,currencyrateid,integer,PRIMARY KEY
2011-05-31 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
FRF,tocurrencycode,character,None
6.3611,averagerate,numeric,None
6.3613,endofdayrate,numeric,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
27,salestaxrateid,integer,PRIMARY KEY
79,stateprovinceid,integer,None
1,taxtype,smallint,CHECK
8.8,taxrate,numeric,None
Washington State Sales Tax,name,character varying,None
9c84c0af-41cd-4670-98bc-5026e188541f,rowguid,uuid,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
633,businessentityid,integer,PRIMARY KEY
13923,creditcardid,integer,PRIMARY KEY
2012-06-30 00:00:00,modifieddate,timestamp without time zone,None
150,workorderid,integer,PRIMARY KEY
517,productid,integer,None
1,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-05 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-23 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-16 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-23 00:00:00,modifieddate,timestamp without time zone,None
95,productphotoid,integer,PRIMARY KEY
<memory at 0x000001E010BED840>,thumbnailphoto,bytea,None
julianax_r_02_green_small.gif,thumbnailphotofilename,character varying,None
<memory at 0x000001E010BED9C0>,largephoto,bytea,None
julianax_r_02_green_large.gif,largephotofilename,character varying,None
2012-10-19 09:56:38.273000,modifieddate,timestamp without time zone,None
47,businessentityid,integer,PRIMARY KEY
908-555-0159,phonenumber,character varying,PRIMARY KEY
1,phonenumbertypeid,integer,PRIMARY KEY
2009-02-15 00:00:00,modifieddate,timestamp without time zone,None
135,businessentityid,integer,PRIMARY KEY
2008-12-04 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
14,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
73,productmodelid,integer,PRIMARY KEY
HL Mountain Seat/Saddle 1,name,character varying,None
,catalogdescription,xml,None
,instructions,xml,None
bbe4918f-198d-43c7-9f4b-79bc2aa08f2b,rowguid,uuid,None
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
3,businessentityid,integer,PRIMARY KEY
2007-11-11 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
43.2692,rate,numeric,CHECK
2,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
454,businessentityid,integer,PRIMARY KEY
453,personid,integer,PRIMARY KEY
15,contacttypeid,integer,PRIMARY KEY
a88d38c2-555d-4b52-946c-19b0d5e3e987,rowguid,uuid,None
2017-12-13 13:21:07.133000,modifieddate,timestamp without time zone,None
938,productid,integer,PRIMARY KEY
2013-12-29 13:51:58.103000,modifieddate,timestamp without time zone,None
/3/3/,documentnode,character varying,PRIMARY KEY
86,businessentityid,integer,PRIMARY KEY
