prompt,response
"BTL,Bottle,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"C  ,Celsius,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CAN,Canister,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CAR,Carton,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CBM,Cubic meters,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CCM,Cubic centimeter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CDM,Cubic decimeter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CM ,Centimeter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CM2,Square centimeter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CR ,Crate,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CS ,Case,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"CTN,Container,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"DM ,Decimeter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
