prompt,response
"96,32513,2,039f5361-37d3-435a-ab44-ea798b20b44b,2014-09-12 11:15:06.967000","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'addressid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'addresstypeid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"176,2011-12-01 00:00:00,7.25,1,2011-11-17 00:00:00","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'ratechangedate': {'type': 'timestamp without time zone', 'constraints': ['PRIMARY KEY']}, 'rate': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'payfrequency': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43767,8,2011-06-17 00:00:00,2011-06-29 00:00:00,2011-06-24 00:00:00,5,True,,10-4030-011001,11001,,9,14489,14489,1,8810,235091Vi45462,223,3374.99,269.9992,84.3748,3729.364,,bf2e1105-44c2-422f-92e8-59c575bf2652,2011-06-24 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'revisionnumber': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'orderdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'duedate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'shipdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'status': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'onlineorderflag': {'type': 'boolean', 'constraints': ['NO CONSTRAINT']}, 'purchaseordernumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'accountnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'customerid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'salespersonid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'territoryid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'billtoaddressid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shiptoaddressid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shipmethodid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'creditcardid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'creditcardapprovalcode': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'currencyrateid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'subtotal': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'taxamt': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'freight': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'totaldue': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'comment': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"34,,940,10,9edda794-7862-4ff4-b8e2-528847cab2bd,2014-09-12 11:15:07.263000","{'customerid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'personid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'storeid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'territoryid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"16,40 Ellis St.,,Bothell,79,98011,<memory at 0x000001E01095E800>,0312b65f-cb60-4396-9ec7-a78b2eac1a1b,2012-11-09 00:00:00","{'addressid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'addressline1': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'addressline2': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'city': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'stateprovinceid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'postalcode': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'spatiallocation': {'type': 'bytea', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"176,8751 Norse Drive,,Bellevue,79,98004,<memory at 0x000001E010B98F40>,a313e877-ebd4-4a8c-8f0a-ed20a645a6ed,2009-12-28 00:00:00","{'addressid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'addressline1': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'addressline2': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'city': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'stateprovinceid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'postalcode': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'spatiallocation': {'type': 'bytea', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"1684,PROFESSI0001,Professional Athletic Consultants,1,True,True,,2012-02-02 00:00:00","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'accountnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'name': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'creditrating': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'preferredvendorstatus': {'type': 'boolean', 'constraints': ['NO CONSTRAINT']}, 'activeflag': {'type': 'boolean', 'constraints': ['NO CONSTRAINT']}, 'purchasingwebserviceurl': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"348,347,14,f264a712-713c-4f49-90e4-f472799d372c,2017-12-13 13:21:03.960000","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'personid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'contacttypeid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"55,395d317a-e79f-46d3-8acd-60bd400d4898,2017-12-13 13:20:27.163000","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"130,bcfba8d4-944e-4d2b-a433-e8fa9087eff6,2017-12-13 13:20:30.650000","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
